company,location,industry,total_laid_off,percentage_laid_off,date,stage,country,funds_raised_millions
Cart.com,Austin,Retail,,,2023-01-10,Unknown,United States,383
CipherTrace,SF Bay Area,Crypto,,,2020-04-09,Unknown,United States,18
Wonder,New York City,Other,,,2020-04-02,Unknown,United States,
Coursera,SF Bay Area,Education,,,2022-11-09,Post-IPO,United States,458
Defined.ai,Seattle,Data,,,2022-02-07,Series B,United States,78
Make School,SF Bay Area,Education,,,2020-03-27,Unknown,United States,
Zwift,Los Angeles,Fitness,,,2020-03-23,Series B,United States,164
Natera,SF Bay Area,Healthcare,,,2022-11-22,Post-IPO,United States,809
FullStory,Atlanta,Marketing,,,2020-04-16,Series C,United States,59
SquadVoice,Columbus,Real Estate,,,2020-04-16,Series A,United States,2
Capiter,Cairo,Finance,,,2022-09-09,Series A,Egypt,33
Desktop Metal,Boston,Other,,,2023-02-02,Post-IPO,United States,811
Desktop Metal,Boston,Other,,,2020-04-28,Series E,United States,436
Carvana,Phoenix,Transportation,,,2023-01-13,Post-IPO,United States,1600
Hopper,Boston,Travel,,,2020-04-06,Series D,United States,183
Finastra,Tel Aviv,Finance,,,2023-01-25,Unknown,Israel,
ZenBusiness,Austin,Other,,,2022-11-10,Series C,United States,277
CloudKitchens,Los Angeles,Real Estate,,,2022-11-03,Unknown,United States,1300
Arrival,London,Transportation,,,2022-10-20,Post-IPO,United Kingdom,629
Spotify,Stockholm,Media,,,2022-10-06,Post-IPO,Sweden,2100
Spotify,Stockholm,Media,,,2022-11-09,Post-IPO,Sweden,2100
HopSkipDrive,Los Angeles,Transportation,,,2020-08-12,Unknown,United States,45
Omnipresent,London,HR,,,2023-02-01,Series B,United States,137
Rapyd,Tel Aviv,Finance,,,2022-11-22,Unknown,Israel,770
FutureLearn,London,Education,,,2022-11-28,Unknown,United Kingdom,50
Updater,New York City,Other,,,2022-08-16,Unknown,United States,467
Graphcore,Bristol,Data,,,2022-09-27,Unknown,United Kingdom,692
Workfront,Salt Lake City,Marketing,,,2020-05-14,Series C,United States,375
PowerReviews,Chicago,Retail,,,2020-04-23,Acquired,United States,78
Fandom,SF Bay Area,Media,,,2023-01-19,Series E,United States,145
DeHaat,Gurugram,Food,,,2022-08-01,Series D,India,194
Lenovo,Raleigh,Hardware,,,2022-12-08,Post-IPO,United States,850
CircleUp,SF Bay Area,Finance,,,2022-07-13,Series C,United States,53
Vox Media,Washington D.C.,Media,,,2020-07-14,Series F,United States,307.6
StreamSets,SF Bay Area,Data,,,2020-08-20,Series C,United States,76.2
Filevine,Salt Lake City,Legal,,,2022-12-06,Series D,United States,226
Crehana,Lima,Education,,,2022-06-15,Series B,Peru,93
GOAT Group,Los Angeles,Retail,,,2020-04-01,Series D,United States,197
Zinier,SF Bay Area,HR,,,2020-11-25,Series C,United States,120
Tencent,Shenzen,Consumer,,,2022-11-15,Post-IPO,China,12600
Mews,Prague,Travel,,,2020-04-03,Series B,Czech Republic,41
Lazerpay,Lagos,Crypto,,,2022-11-29,Unknown,Nigeria,
Health IQ,SF Bay Area,Healthcare,,,2022-12-19,Series D,United States,136
Convoy,Atlanta,Logistics,,,2023-02-16,Series E,United States,1100
Currency,Los Angeles,Finance,,,2020-04-01,Unknown,United States,
Fishbrain,Stockholm,Consumer,,,2023-01-17,Unknown,United States,59
Alegion,Austin,Data,,,2020-04-03,Series A,United States,16
